Species Name,Description
Prochilodontidae,"The Prochilodontidae, commonly known as the bocachicos or flannel-mouthed characins, are a small family of freshwater fishes found primarily in the northern half of South America, south to Paraguay and northern Argentina. This family is closely related to the Curimatidae, and were included in Characidae before that family was revised and split. These fish have fleshy lips bearing rows of small teeth; their lips are able to be extended into a sucking disc used to feed on detritus and aufwuchs. They often live in huge schools, traveling upriver to spawn. In their native range, they are a popular food fish, and are caught in large numbers."
Profundulidae,Profundulidae is a family of killifishes. The species of this family are native to Central America and Mexico.
Protopteridae,"Protopterus is the genus of four species of lungfish found in Africa. Protopterus is considered the sole genus in the family Protopteridae, which is  grouped with Lepidosiren in the order Lepidosireniformes."
Psettodidae,"The spiny turbots are a family, Psettodidae, of relatively large, primitive flatfish found in the tropical waters of the east Atlantic and Indo-Pacific. The family contains three species, all in the same genus, Psettodes. The common name comes from the presence of spines in the dorsal and anal fins, which may indicate an evolutionary relationship with the Perciformes. Spiny turbots are less asymmetrical than other flatfish, although the region around the eyes is twisted. They reach lengths of 55–80 cm (22–31 in)."
Pseudocarchariidae,"The crocodile shark (Pseudocarcharias kamoharai) is a species of mackerel shark and the only extant member of the family Pseudocarchariidae. A  specialized inhabitant of the mesopelagic zone, the crocodile shark can be found worldwide in tropical waters from the surface to a depth of 590 m (1,940 ft). It performs a diel vertical migration, staying below a depth of 200 m (660 ft) during the day and ascending into shallower water at night to feed. Typically measuring only 1 m (3.3 ft) in length, the crocodile shark is the smallest living mackerel shark. It can be distinguished by its elongated cigar-shaped body, extremely large eyes, and relatively small fins."
Pseudochromidae,"The dottybacks are a family, Pseudochromidae, of fishes which were formerly classified in the order Perciformes or considered incertae sedis percomorphs, but are now considered basal blenniiforms. Around 152 species belong to this family. They are found in the tropical and subtropical Indo-Pacific, where most inhabit coral reefs. Many species are brightly coloured fish, often showing striking sexual dimorphism. They are generally small, mostly less than 10 cm (4 in) in length, and some less than 2 cm (0.8 in)."
Pseudomugilidae,"The Pseudomugilidae, the blue-eyes, are a family of atheriniform fish. They have variously been treated as either a family of their own or as a subfamily of the Melanotaeniidae. They inhabit fresh and brackish water in Australia, New Guinea and nearby smaller islands. Blue-eyes are small fish, typically no more than 5 cm (2.0 in) in length. Like the larger melanotaeniid rainbowfish, they spawn all year round, and attach their eggs to vegetation."
Pseudopimelodidae,The Pseudopimelodidae are a small family (about 40 species) of catfishes known as the bumblebee catfishes or dwarf marbled catfishes. Some of these fish are popular aquarium fish.
Pseudotriakidae,"The Pseudotriakidae are a small family of ground sharks, belonging to the order Carcharhiniformes, containing the false catsharks (genera Pseudotriakis and Planonasus) and gollumsharks  (genus Gollum). It contains the only ground shark species that exhibit intrauterine oophagy, in which developing fetuses are nourished by eggs produced by their mother."
Psilorhynchidae,"Psilorhynchus is a genus of ray-finned fish in the family Psilorhynchidae native to South Asia. This genus is the only member of its family. The members of Psilorhynchus are small benthic fishes which occur in rivers and streams with fast to swift currents, hence they are often referred to as torrent minnows. They are distributed in southern Asia, in the Indo-Burma region and the Western Ghats. The genus is the sister group to the family Cyprinidae, and with that family the Psilorhynchidae makes up the superfamily Cyprinoidea, with all the other cypriniform families in the superfamily Cobitoidea."
Psychrolutidae,"Psychrolutidae (commonly known as marine sculpins, flathead sculpins, blobfishes,  or tadpole sculpins) is a family of sculpins found in cool temperate waters throughout the Northern Hemisphere, with a few species ranging into cold and deep waters of the Southern Hemisphere. The vast majority are found in marine habitats, but a few range into freshwater habitats. The family reaches its greatest diversity in the North Pacific Ocean, but a few species are found as far south as Antarctica. The family contains over 216 recognized species in 63 genera. Their name is derived from the Greek psychrolouteo, meaning ""to have a cold bath""."
Rachycentridae,"Rachycentron is the only known member genus of the family Rachycentridae. The genus contains a single living species, the cobia (Rachycentron canadum), and the Late Miocene fossil species Rachycentron stremphaencus from Maryland."
Rajidae,"Skates are cartilaginous fish belonging to the family Rajidae in the superorder Batoidea of rays. More than 150 species have been described, in 17 genera. Softnose skates and pygmy skates were previously treated as subfamilies of Rajidae (Arhynchobatinae and Gurgesiellinae), but are now considered as distinct families. Alternatively, the name ""skate"" is used to refer to the entire order of Rajiformes (families Anacanthobatidae, Arhynchobatidae, Gurgesiellidae and Rajidae). Members of Rajidae are distinguished by a stiff snout and a rostrum that is not reduced."
Ranicipitidae,"Raniceps raninus, the tadpole fish, is a species of gadiform fish native to the northeast Atlantic Ocean around the coasts of France, Ireland, and the United Kingdom and the North Sea. It is the only member of the genus Raniceps, the family Ranicipitidae and the suborder Ranicipitoidei. It was formerly placed in the family Gadidae, but phylogenetic studies support it belonging to a distinct family. This species grows to a total length of 27.5 cm (10.8 in). It is of no importance to the commercial fishery industry, though it can be found in the aquarium trade and is displayed in public aquaria."
Regalecidae,"The oarfish is a large and extremely long pelagic lampriform fish belonging to the small family Regalecidae. Found in areas spanning from temperate ocean zones to tropical ones, yet rarely seen by humans, the oarfish family contains three species in two genera. One of these, the giant oarfish (Regalecus glesne), is the longest bony fish alive, growing up to about 8 m (26 ft) in length. The common name oarfish is thought to allude either to their highly compressed and elongated bodies or to the now discredited belief that the fish ""row"" themselves through the water with their pelvic fins. The family name Regalecidae is derived from the Latin regalis, meaning ""royal""."
Rhincodontidae,"Rhincodontidae is a shark family which includes the whale shark, the sole extant member and the largest living fish. A single extinct genus, Palaeorhincodon, is known from the Paleocene and Eocene as well."
Rhinidae,"Wedgefishes are rays of the family Rhinidae, comprising eleven species in three genera. Classified in the order Rhinopristiformes along with guitarfishes and sawfishes, they have also been known as giant guitarfishes or sharkfin guitarfishes."
Rhinobatidae,"The guitarfish, also referred to as shovelnose rays, are a family, Rhinobatidae, of rays. The guitarfish are known for an elongated body with a flattened head and trunk and small, ray-like wings. The combined range of the various species is tropical, subtropical, and warm temperate waters worldwide."
Rhinochimaeridae,"The Rhinochimaeridae, commonly known as long-nosed chimaeras, are a family of cartilaginous fish. They are similar in form and habits to other chimaeras, but have an exceptionally long conical or paddle-shaped snout. The snout has numerous sensory nerve endings, and is used to find food such as small fish. The first dorsal fin includes a mildly venomous spine, used in defense. Long-nosed chimaeras are found in temperate and tropical seas worldwide, from 200 to 2,000 m (660 to 6,560 ft) in depth."
Rhinopteridae,Rhinoptera is a genus of ray commonly known as the cownose rays. This genus is the only member of the family Rhinopteridae. These rays feed on mollusks and various other benthic prey. Their low fecundity rate and late maturity makes them susceptible to overfishing. All species of this genus are included in the IUCN Red List of Threatened species.
Rhombosoleidae,"Rhombosoleidae is a family of flatfish, comprising nine genera and 19 species; all members of this family are right eye flounders with asymmetrical pelvic fins. Species are typically demersal, living on bottoms in temperate marine waters on the continental shelf, although some species of Rhombosolea enter fresh water in New Zealand. Most are restricted to waters around Australia and New Zealand, though the Indonesian ocellated flounder, Psammodiscus ocellatus, occurs in Indonesia. In some traditional classifications, this group was formerly recognised as a subfamily, Rhombosoleinae, of the Pleuronectidae. The Remo flounder Oncopterus darwinii, which occurs in the southwestern Atlantic and previously part of this family, is now placed in its own monotypic family."
Rhyacichthyidae,"The Rhyacichthyidae or loach gobies are a small family of perciform fish in two genera. The three species all inhabit rivers and streams, often with fast flow. R. aspro is widespread in Western Pacific region (China and Japan to New Guinea and the Solomons), but the two remaining species are restricted to New Caledonia and Vanuatu. Little is known about their breeding behavior, but the eggs or larvae float down into the sea where the young grow up, only to later return to the adult river and stream habitat."
Rivulidae,"The Rivulidae are a family of killifishes in the order Cyprinodontiformes. They are commonly known as rivulids, South American killifish or New World killifish. The latter names are slightly misleading, however, as they are neither restricted to South America, though most are in fact found there, nor are they the only killifishes from the Americas. Occasionally, they are still referred to as rivulines, a term dating back to when they were considered a subfamily of the Aplocheilidae. The subfamilial name ""Rivulinae"" was already established for noctuid moths by Augustus Radcliffe Grote in 1895."
Rondeletiidae,"The redmouth whalefishes are two species of deep-sea whalefishes in the genus Rondeletia, the only genus in the family Rondeletiidae. They are apparently close to the velvet whalefish (Barbourisia rufa), and apparently also to the gibberfishes (Gibberichthyidae). The latter and the Rondeletiidae are the only known living fishes which have the mysterious Tominaga's organ. Like the plant genus of the same name, this genus is named after Guillaume Rondelet. Redmouth whalefishes are small fishes."
Salangidae,"Salangidae, the icefishes or noodlefishes, are a family of small osmeriform fish, related to the smelts. They are found in Eastern Asia, ranging from the Russian Far East in the north to Vietnam in the south, with the highest species richness in China. Some species are widespread and common, but others have relatively small ranges and are threatened. Depending on species, they inhabit coastal marine, brackish or fresh water habitats, and some are anadromous, only visiting fresh water to spawn."
Salmonidae,"Salmonidae (, lit. 'salmon-like') is a family of ray-finned fish, the only extant member of the suborder Salmonoidei, consisting of 11 extant genera and over 200 species collectively known as ""salmonids"" or ""salmonoids"". The family includes salmon (both Atlantic and Pacific species), trout (both ocean-going and landlocked), char, graylings, freshwater whitefishes, taimens and lenoks, all coldwater mid-level predatory fish that inhabit the subarctic and cool temperate waters of the Northern Hemisphere. The Atlantic salmon (Salmo salar), whose Latin name became that of its genus Salmo, is also the eponym of the family and order names. Salmonids have a relatively primitive appearance among teleost fish, with the pelvic fins being placed far back, and an adipose fin towards the rear of the back."
Samaridae,"Samaridae (crested flounders) is a family of crested flounders, small flatfishes native to the Indo-Pacific. The family contains four genera with a total of 29 species."
Scaridae,"Parrotfish (named because their mouths resemble a parrot's beak) are a clade (a fundamental grouping in evolutionary biology consisting of a single common ancestor and all of its descendants) of fish placed in the subfamily Scarinae of the wrasse family (Labridae). Formerly treated as their own family (Scaridae), genetic studies found them to be deeply nested within the wrasses, and they are now treated as a subfamily (Scarinae). With roughly 95 species, the group's largest species richness is in the Indo-Pacific. They are found in coral reefs, rocky coasts, and seagrass beds, and can play a significant role in bioerosion  because they eat away at the corals. This activity is also often attributed to enriching the sand content on the surrounding ocean floor."
Scatophagidae,"Scatophagidae, the scats are a small family of ray-finned fishes in the order Acanthuriformes. They are found in the Indo-Pacific region but one species has been introduced elsewhere."
Schilbeidae,"Schilbeidae is a family of catfishes native to Africa and Asia. These fish tend to swim in open water. Schilbid catfishes usually have dorsal fins with a short base and a spine, but Parailia lack a dorsal fin altogether. Most species also possess an adipose fin. The base of the anal fin is very long."
Sciaenidae,Sciaenidae is a family of ray-finned fishes belonging to the order Acanthuriformes. They are commonly called drums or croakers in reference to the repetitive throbbing or drumming sounds they make. The family consists of about 293 to 298 species in about 66 or 67 genera.
Scombridae,"The mackerel, tuna, and bonito family, Scombridae, includes many of the most important and familiar food fishes. The family consists of 51 species in 15 genera and two subfamilies. All species are in the subfamily Scombrinae, except the butterfly kingfish, which is the sole member of subfamily Gasterochismatinae. Scombrids have two dorsal fins and a series of finlets behind the rear dorsal fin and anal fin. The caudal fin is strongly divided and rigid, with a slender, ridged base."
Scophthalmidae,"The Scophthalmidae are a family of flatfish found in the North Atlantic Ocean, Baltic Sea, Mediterranean Sea, and Black Sea. Fish of this family are known commonly as turbots, though this name can refer specifically to Scophthalmus maximus, as well. Some common names found in species of this family are turbots, windowpanes, and brills. Cladistic analysis reveals that this family is a monophyletic group. Of all the scophthalmids, the largest species (Scophthalmus maximus) reaches approximately one meter in length."
Scorpaenidae,"The Scorpaenidae (also known as scorpionfish) are a family of mostly marine fish that includes many of the world's most venomous species. As their name suggests, scorpionfish have a type of ""sting"" in the form of sharp spines coated with venomous mucus. They are widespread in tropical and temperate seas, especially in the Indo-Pacific region. They should not be confused with the cabezones, of the genus Scorpaenichthys, which belong to a separate, though related, family, Cottidae."
Scorpididae,"The Scorpididae, commonly known as halfmoons, knifefishes, and sweeps, are a family of marine centrarchiform fish in the suborder Terapontoidei. In the past, they were considered a subfamily of the Kyphosidae, but they are now treated as their own family. They are distributed throughout the Pacific and east Indian Oceans, with species occurring in the waters of North America, South America, Asia, Australia, and numerous islands. Most inhabit the continental shelf in shallow rock and kelp reefs and deeper offshore reefs, whilst others are found well offshore in a pelagic setting. Most of the Scorpidinae are carnivorous, taking a variety of small crustaceans, although some are partly herbivorous."
Scyliorhinidae,"Scyliorhinidae is a family of sharks, one of a few families whose members share the common name catsharks, belonging to the order  Carcharhiniformes, the ground sharks. Although they are generally known as catsharks, some species can also be called dogfish due to  previous naming. However, a dogfish may generally be distinguished from a catshark as catsharks lay eggs while dogfish have live young, as well as the fact that dogfish lack an anal fin. Like most bottom feeders, catsharks feed on benthic invertebrates and smaller fish. They are not harmful to humans."
Sebastidae,"Sebastinae is a subfamily of marine fish belonging to the family Scorpaenidae in the order Scorpaeniformes. Their common names include rockfishes, rock perches, ocean perches, sea perches and rockcods. Despite the latter name, they are not closely related to the cods in the genus Gadus, nor the rock cod, Lotella rhacina."
Serranidae,"Serranidae is a family of marine fish belonging to the order Perciformes. The family used to contain about 450 species in 65 genera, including some of the sea basses and groupers, but taxonomic revisions split out Epinephelinae (groupers), Grammistini (soapfish),  and Anthiadinae (anthias); as a consequence, this family is now much less speciose. Representatives of this group live in tropical and subtropical seas worldwide."
Serrasalmidae,"The Serrasalmidae (serrasalmids) are a family of characiform fishes native to freshwater habitats of South America. They include more than 90 species. The name means ""serrated salmon family"", which refers to the serrated keel running along the belly of these fish. Fish classified as Serrasalmidae are also known by these common names: pacu, piranha, and silver dollar. These common names generally designate differing dental characteristics and feeding habits."
Setarchidae,"Setarchinae, the deep-sea bristly scorpionfishes, is a small subfamily of deep-sea ray-finned fishes, it is part of the family Scorpaenidae. They are small marine fishes, growing up to 25 cm, and are found in tropical and subtropical waters throughout the world."
Siganidae,"Siganidae, the rabbitfishes, are a small family of ray-finned fishes in the order Perciformes. The only extant genus is Siganus, the rabbitfish and spinefoot. However, a number of genera are known from fossils. The extant species are marine fish found in the Indo-Pacific and eastern Mediterranean. They are important foodfishes and some are popular in the aquarium trade."
Sillaginidae,"The Sillaginidae, commonly known as the smelt-whitings, whitings, sillaginids, sand borers and sand-smelts, are a family of benthic coastal marine fish historically classified in the order Perciformes, although the 5th edition of Fishes of the World places the family in the Spariformes. The smelt-whitings inhabit a wide region covering much of the Indo-Pacific, from the west coast of Africa east to Japan and south to Australia. The family comprises only five genera and 35 species, of which a number are dubious, with the last major revision of the family in 1992 unable to confirm the validity of a number of species. They are elongated, slightly compressed fish, often light brown to silver in colour, with a variety of markings and patterns on their upper bodies. The Sillaginidae are not related to a number of fishes commonly called 'whiting' in the Northern Hemisphere, including the fish originally called whiting, Merlangius merlangus."
Siluridae,"Siluridae is the nominate family of catfishes in the order Siluriformes. About 105 living species of silurids are placed in 12 or 14 genera. Although silurids occur across much of Europe and Asia, they are most diverse in Southeast Asia, beyond which their diversity decreases in temperate East Asia, the Indian subcontinent, Southwest Asia, and Europe. Silurids are apparently absent from much of central Asia. The family can be divided into two groups, a temperate North Eurasian clade and a more diverse subtropical/tropical South and Southeast Asian clade."
Sinipercidae,"Sinipercidae, the Chinese perches or Oriental perches, is a family of freshwater ray-finned fishes, part of the order Centrarchiformes. They have been placed within the temperate perch family (Percichthyidae) in the past, but are now known to be most closely related to the North American freshwater sunfish and pygmy sunfish, within Centrarchidae and Elassomatidae. The earliest known member of the group in the fossil record is Coreoperca chosun from the Early Miocene of South Korea."
Sisoridae,Sisoridae is a family of catfishes. These Asian catfishes live in fast-moving waters and often have adaptations that allow them to adhere to objects in their habitats. The family includes about 235 species.
Soleidae,"The true soles are a family, Soleidae, of flatfishes. It includes saltwater and brackish water species in the East Atlantic, Indian Ocean, West and Central Pacific Ocean, and the Mediterranean sea. Freshwater species are found in Africa, southern Asia, New Guinea, and Australia. Many soles are important food species: the common sole, Solea solea, is popular in northern Europe and the Mediterranean."
Solenostomidae,"Solenostomus, also known as the ghost pipefishes, false pipefishes or tubemouth fishes, is a genus of fishes in the order Syngnathiformes. Solenostomus is the only genus in the family Solenostomidae, and includes six currently recognized species. Ghost pipefishes are related to  pipefishes and seahorses. They are found in tropical waters of the Indo-Pacific. The animals, none of which are longer than 17 centimetres (6.7 in), float near motionlessly, with the mouth facing downwards, around a background that makes them nearly impossible to see."
Somniosidae,"The Somniosidae are a family of sharks in the order Squaliformes, commonly known as sleeper sharks. The common name ""sleeper shark"" comes from their slow swimming, low activity level, and perceived non-aggressive nature."
Sparidae,"Sparidae, the seabreams and porgies, is a family of ray-finned fishes belonging to the order Acanthuriformes, although they were previously classified in the order Perciformes. The over 150 species are found in shallow and deep marine waters in temperate through tropical regions around the world. Most species are demersal carnivores."
Sphyraenidae,"A barracuda is a large, predatory, ray-finned, saltwater fish of the genus Sphyraena, the only genus in the family Sphyraenidae, which was named by Constantine Samuel Rafinesque in 1815. It is found in tropical and subtropical oceans worldwide ranging from the eastern border of the Atlantic Ocean to the Red Sea, on its western border the Caribbean Sea, and in tropical areas of the Pacific Ocean. Barracudas reside near the top of the water and near coral reefs and sea grasses. Barracudas are often targeted by sport-fishing enthusiasts."
Sphyrnidae,"The hammerhead sharks are a group of sharks that form the family Sphyrnidae, named for the unusual and distinctive form of their heads, which are flattened and laterally extended into a cephalofoil (a T-shape or ""hammer""). The shark's eyes are placed one on each end of this T-shaped structure, with their small mouths directly centered and underneath. Most hammerhead species are placed in the genus Sphyrna, while the winghead shark is placed in its own genus, Eusphyra. Many different—but not necessarily mutually exclusive—functions have been postulated for the cephalofoil, including sensory reception, manoeuvering, and prey manipulation. The cephalofoil gives the shark superior binocular vision and depth perception, as well as increased surface area for electrocreceptors."
Spratelloididae,"Spratelloididae is a small family of marine ray-finned fishes belonging to the suborder Clupeoidei of the order Clupeiformes, which also includes the anchovies and herrings. The taxa in this family were previously classified within the family Clupeidae but are now considered to be a valid family. One genus, Jenkinsia is found in the Western Atlantic, the other, Spratelloides, in the Indian and Pacific Oceans."
Squalidae,"Squalidae, more commonly known as dogfish, dog sharks, or spiny dogfish, are one of several families of sharks categorized under Squaliformes, making it the second largest order of sharks, numbering 119 species across 7 families. Having earned their name after a group of fishermen reportedly observed the species chasing down smaller fish in dog-like packs, dogfish have slender, streamlined bodies, usually more compact in comparison to other species, and a pointed snout. Dogfish likewise have two dorsal fins, each with smooth spines, but no anal fin, and their skin is generally rough to the touch. As the species reaches adulthood, males usually measure a maximum of 100 cm (39 inches), while females typically measure 125 cm (49 inches) long. The species therefore exhibits female-dominant sexual dimorphism."
Squatinidae,"Squatiniformes is an order of sharks belonging to Squalomorphi. It contains only a single living genus Squatina, commonly known as angelsharks. The oldest genus of the order, Pseudorhina is known from the Late Jurassic of Europe. Three other genera, Cretasquatina, Cretascyllium and Parasquatina are known from Cretaceous fossils from North America and Europe, though the placement of Parasquatina in the order has been questioned. All living and extinct members of the order share a similar body morphology with a highly flattened body with enlarged pectoral and pelvic fins suggestive of a bottom-dwelling ambush predator ecology."
Sternoptychidae,"The marine hatchetfishes or deep-sea hatchetfishes as well as the related bottlelights, pearlsides and constellationfishes are small deep-sea ray-finned fish of the stomiiform family Sternoptychidae. They are not closely related to and should not be confused with the freshwater hatchetfishes, which are teleosts in the characiform family Gasteropelecidae. The Sternoptychidae have 10 genera and about 70 species altogether. The scientific name means ""Sternoptyx-family"", from Sternoptyx (the type genus) + the standard animal family suffix ""-idae"". The type genus derives from Ancient Greek stérnon (στέρνον, ""breast"") + ptýx (πτύξ, ""a fold/crease"") + Latin forma (""external form""), the Greek part in reference to the thorax shape of marine hatchetfishes."
Sternopygidae,"Glass knifefishes are fishes in the family Sternopygidae in the order Gymnotiformes. Species are also known as rattail knifefishes. These fishes inhabit freshwater streams and rivers in Panama and South America. Many species are specialized for life in the deep (more than 20 m or 66 ft) swiftly moving waters of large river channels, like that of the Amazon and its major tributaries where they have been observed swimming vertically. Sternopygus species inhabit both streams and rivers."
Stichaeidae,"Stichaeidae, the pricklebacks or shannies, are a family of marine ray-finned fishes in the suborder Zoarcoidei of the order Scorpaeniformes. Most species are found in the North Pacific Ocean with a few in the North Atlantic Ocean."
Stomiidae,"Stomiidae is a family of deep-sea ray-finned fish, including the barbeled dragonfishes, that live in all oceans in a wide range of depths. They are quite small, ranging around 15 to 26 centimetres (5.9 to 10.2 in) long, and they exhibit a strong sexual dimorphism. These fish are apex predators and have enormous jaws filled with fang-like teeth; their specially adapted neurocranium and upper-jaw system allows them to open their jaws to more than 100 degrees. This ability allows them to consume extremely large prey, often 50% greater than their standard length."
Stromateidae,"The family Stromateidae or butterfish contains 15 species of ray-finned fish in three genera. Butterfishes live in coastal waters off the Americas, western Africa and in the Indo-Pacific. The endemic New Zealand species Odax pullus is commonly called butterfish, but is from a separate family Odacidae. The Japanese butterfish Psenopsis anomala is from the separate family Centrolophidae. The African butter catfish is also known as the butter fish."
Synagropidae,"Synagropidae is a small family of ray-finned fishes, sometimes known as the splitfin ocean-basses, in the order Acropomatiformes. Its members were formerly included in the lanternbelly family Acropomatidae."
Synanceiidae,"Synanceiidae, the stonefishes, are a family of ray-finned fish in the order Perciformes, found in the Indo-Pacific region. They are close relatives of the scorpionfishes, with both placed in the suborder Scorpaenoidei. Many members of this family, most famously the subfamily Synanceiinae, are venomous. A majority of species in this family are marine, but some such as Notesthes robusta inhabit freshwater habitats. All synanceiids share the unique defense mechanism of a ""lachrymal saber"", a switchblade-like spine found under each eye (being attached to the lachrymal bone) that can be projected forwards via movement of the maxilla."
Synaphobranchidae,"Cutthroat eels are a family, Synaphobranchidae, of eels, the only members of the suborder Synaphobranchoidei. They are found worldwide in temperate and tropical seas. Cutthroat eels range from 23 to 160 cm (9.1 to 63.0 in) in length. They are bottom-dwelling fish, found in deep waters down to about 3,700 m (12,100 ft). They are distinguished by the presence of telescopic eyes in the larvae."
Synbranchidae,"The swamp eels (also written ""swamp-eels"") are a family (Synbranchidae) of freshwater eel-like fishes of the tropics and subtropics. Most species are able to breathe air and typically live in marshes, ponds and damp places, sometimes burying themselves in the mud if the water source dries up. They have various adaptations to suit this lifestyle; they are long and slender, they lack pectoral and pelvic fins, and their dorsal and anal fins are vestigial, making them limbless vertebrates. They lack scales and a swimbladder, and their gills open on the throat in a slit or pore. Oxygen can be absorbed through the lining of the mouth and pharynx, which is rich in blood vessels and acts as a ""lung""."
Syngnathidae,"The Syngnathidae is a family of fish which includes seahorses, pipefishes, and seadragons (Phycodurus and Phyllopteryx). The family name comes from Ancient Greek σύν (sún), meaning ""together"", and γνάθος (gnáthos), meaning ""jaw"", referring to the fused jaw that the entire family have in common."
Synodontidae,"The Synodontidae or lizardfishes are benthic (bottom-dwelling) marine and estuarine bony fishes that belong to the aulopiform fish order, a diverse group of marine ray-finned fish consisting of some 15 extant and several prehistoric families. They are found in tropical and subtropical marine waters throughout the world. Lizardfishes are generally small, although the largest species measures about 60 cm (24 in) in length. They have slender, somewhat cylindrical bodies, and heads that superficially resemble those of lizards. The dorsal fin is located in the middle of the back, and accompanied by a small adipose fin placed closer to the tail."
Telmatherinidae,"The Telmatherinidae, the sail-fin silversides are a family of atheriniform fish, inhabiting fresh and brackish water. All but the species Kalyptatherina helodes are restricted to the Indonesian island of Sulawesi, and most are found solely in the Malili Lake system, consisting of Matano and Towuti, and the small Lontoa (Wawantoa), Mahalona and Masapi. They were formerly treated as a subfamily of the Melanotaeniidae. They are small fish, typically ranging from 3 to 8 cm (1.2 to 3.1 in) in length, though the largest Paratherina can reach almost twice that size. They are named for the sail-like shape of their first dorsal fin in the males, which are also brightly coloured, compared with the females."
Terapontidae,"Grunters or tigerperches are ray-finned fishes in the family Terapontidae (also spelled Teraponidae, Theraponidae or Therapontidae). This family is part of the superfamily Percoidea of the order Perciformes."
Tetraodontidae,"Tetraodontidae is a family of marine and freshwater fish in the order Tetraodontiformes. The family includes many familiar species variously called pufferfishes, puffers, balloonfishes, blowfishes, blowers, blowies, bubblefishes, globefishes, swellfishes, toadfishes, toadies, botetes, toadle, honey toads, sugar toads, and sea squabs. They are morphologically similar to the closely related porcupinefish, which have large external spines (unlike the thinner, hidden spines of the Tetraodontidae, which are only visible when the fish have puffed up). The family name comes from Ancient Greek τετρα- (tetra-), meaning ""four"", and ὀδούς (odoús), meaning ""tooth"", referring to the four teeth of the type genus Tetraodon. The majority of pufferfish species are toxic, with some among the most poisonous vertebrates in the world."
Tetrarogidae,"Tetraroginae is a subfamily of marine ray-finned fishes, commonly known as waspfishes or sailback scorpionfishes, belonging to the family Scorpaenidae, the scorpionfishes and their relatives. These fishes are native to the Indian Ocean and the West Pacific. As their name suggests, waspfishes are often venomous; having poison glands on their spines. They are bottom-dwelling fish, living at depths to 300 metres (980 ft). These creatures usually live in hiding places on the sea bottom."
Tincidae,"The tench or doctor fish (Tinca tinca) is a fresh- and brackish-water fish of the order Cypriniformes found throughout Eurasia from Western Europe including Britain and Ireland east into Asia as far as the Ob and Yenisei Rivers. It is also found in Lake Baikal. It normally inhabits slow-moving freshwater habitats, particularly lakes and lowland rivers."
Torpedinidae,"The family Torpedinidae contains 22 species of electric rays or torpedoes, flat cartilaginous fishes that produce electricity as a defense and feeding mechanism. They are slow-moving bottom-dwellers. The largest species is the Atlantic torpedo, Tetronarce nobiliana, which can grow to a weight of 90 kg (200 lb) and deliver a 220-volt electric shock. Electric rays have patches of modified muscle cells called electroplaques that make up an electric organ. These generate an electric gradient, similar to the normal electric potential across most cell membranes, but amplified greatly by its concentration into a very small area."
Toxotidae,"The archerfish (also known as spinner fish or archer fish) or Toxotidae are a family of percomorph tropical fish known for their unique predation technique of ""shooting down"" land-based insects and other small prey with jets of water spit from their specialized mouths. The family is small, consisting of ten species in two genera, Toxotes and Protoxotes. Most archerfish live in freshwater streams, ponds and wetlands, but two or three species are euryhaline, inhabiting both fresh and brackish water habitats such as estuaries and mangroves. They can be found from India, Bangladesh and Sri Lanka, through Southeast Asia, to Melanesia and Northern Australia. Archerfish have deep and laterally compressed bodies, with the dorsal fin and the profile a straight line from dorsal fin to mouth."
Trachichthyidae,"Slimeheads, also known as roughies and redfish, are mostly small, exceptionally long-lived, deep-sea beryciform fish constituting the family Trachichthyidae, coming from the Ancient Greek τραχύς (trakhús), meaning ""rough"", and ἰχθύς (ikhthús), meaning ""fish"". Found in temperate to tropical waters of the Atlantic, Indian, and Pacific Oceans, the family comprises about 50 species in eight genera. Slimeheads are named for the network of muciferous canals riddling their heads. The larger species – namely the orange roughy (Hoplostethus atlanticus) and Darwin's slimehead (Gephyroberyx darwinii) – are the target of extensive commercial fisheries off Australia and New Zealand. Many populations have already crashed, while others are showing signs of severe overfishing; due to slimeheads' slow rate of reproduction, the future viability of these fisheries has been put into question."
Trachinidae,"Weevers (or weeverfish) are nine extant species of ray-finned fishes of the family Trachinidae in the order Perciformes, part of the wider clade Percomorpha. They are long (up to 37 cm), mainly brown in color, and have venomous spines on their first dorsal fin and gills. During the day, weevers bury themselves in sand, just showing their eyes, and snatch prey as it comes past, which consists of shrimp and small fish. Weevers are unusual in not having swim bladders, as have most bony fish, and as a result sink as soon as they stop actively swimming. With the exception of T."
Trachipteridae,"The ribbonfish are any lampriform fishes in the family  Trachipteridae. There are about 10 recognized species in the family. These pelagic fish are named for their slim, ribbon-like appearance. They are rarely seen alive, as they typically live in deep waters, though are not bottom feeders. The perciform fish known as the red bandfish (Cepola macrophthalma) is sometimes referred to as ribbonfish, but it is unrelated to any ribbonfish in the Trachipteridae."
Trachyrincidae,"Trachyrincidae is a family of gadiform fish. The subfamily contains four genera found in Atlantic, Indian and Pacific Ocean. These species live in deep-water. These fishes have a long, narrow and sharply pointed snout. The chin barbel is present."
Triacanthidae,"Triacanthidae, (from Ancient Greek τρι- (tri-), meaning ""three"", and ἄκανθα (ákantha), meaning ""spine"") known as the triplespines or tripodfishes, is a family of marine ray-finned fishes belonging to the order Tetraodontiformes, which also includes the pufferfishes, boxfishes, filefishes and related groups. The family is made up of four extant genera and three extinct genera which are known from fossils."
